participantID,instanceName,seqBall,responseTimeUrn,responseTimeColour,uA_r,uB_r,cB_r,cW_r,cP_r,cG_r,uC_r,uD_r,urns,colours,uA_c,uB_c,cB_c,cW_c,cP_c,cG_c,uC_c,uD_c,uA_s,uB_s,uC_s,uD_s,cB_s,cW_s,cP_s,cG_s,diff_uA,diff_uB,diff_uC,diff_uD,diff_cB,diff_cW,diff_cP,diff_cG,JSD_U_rc,JSD_C_rc,JSD_U_rs,JSD_C_rs,DQ_U_o,DQ_C_o,DQ_U_s,DQ_C_s,EWCC_u,MDCC_u,CC_u,EWCC_c,MDCC_c,CC_c,ACC_u,ACC_c,AEWCC_u,AEWCC_c,AMDCC_u,AMDCC_c
10000,11,1,67.61926,68.47171,30.0,30.0,20.0,24.0,27.0,29.0,40.0,,3,4,28.999999999999996,28.999999999999996,25.0,23.0,24.0,28.999999999999996,43.0,,28.999999999999996,28.999999999999996,43.0,,25.0,23.0,24.0,28.000000000000004,1.0000000000000036,1.0000000000000036,3.0,,5.0,1.0,3.0,3.552713678800501e-15,0.022204862593555384,0.05186898682519042,0.022204862593555384,0.05277083897132204,0.9777951374064446,0.9481310131748095,0.9777951374064446,0.9472291610286779,6.0,4.0,10.0,18.0,9.0,27.0,10.0,27.0,6.0,18.0,4.0,9.0
10000,11,2,83.08722,32.236145,29.0,31.0,14.0,24.0,27.0,35.0,40.0,,3,4,10.0,30.0,19.0,21.0,26.0,34.0,60.0,,11.0,32.0,56.99999999999999,,25.0,23.0,24.0,28.000000000000004,19.0,1.0,20.0,,5.0,3.0,1.0,1.0,0.22233769052267413,0.059876042886791166,0.2028525600090757,0.12193470508194325,0.7776623094773258,0.9401239571132088,0.7971474399909243,0.8780652949180567,11.0,7.0,18.0,18.0,9.0,27.0,28.0,54.0,17.0,36.0,11.0,18.0
10000,11,3,76.17108,34.63501,15.0,36.0,9.0,12.0,35.0,44.0,49.0,,3,4,3.0,26.0,16.0,20.0,27.0,36.0,71.0,,10.0,33.0,56.99999999999999,,22.0,21.0,25.0,32.0,12.0,10.0,22.0,,7.0,8.0,8.0,8.0,0.22797054923158827,0.14546947682923386,0.07925587035129233,0.20530854522457803,0.7720294507684118,0.8545305231707662,0.9207441296487077,0.794691454775422,11.0,7.0,18.0,18.0,9.0,27.0,46.0,81.0,28.0,54.0,18.0,27.0
1003,12,1,9.976074,48.1259766,35.0,35.0,35.0,25.0,20.0,20.0,30.0,,3,4,50.0,38.0,33.0,25.0,21.0,21.0,12.0,,50.0,38.0,12.0,,28.000000000000004,23.0,23.0,26.0,15.0,3.0,18.0,,2.0,0.0,1.0,1.0,0.19694389982931332,0.01970145938747562,0.19694389982931332,0.08184085028020215,0.8030561001706866,0.9802985406125244,0.8030561001706866,0.9181591497197978,6.0,4.0,10.0,18.0,9.0,27.0,10.0,27.0,6.0,18.0,4.0,9.0
1003,12,2,12.097168,32.3063965,45.0,30.0,40.0,28.0,20.0,12.0,25.0,,3,4,62.0,35.0,36.0,26.0,21.0,18.0,4.0,,51.0,38.0,11.0,,30.0,24.0,23.0,24.0,17.0,5.0,21.0,,4.0,2.0,1.0,6.0,0.2679408348091176,0.073678812137071,0.15786108414828726,0.14705166627801902,0.7320591651908823,0.9263211878629289,0.8421389158517127,0.852948333721981,11.0,7.0,18.0,18.0,9.0,27.0,28.0,54.0,17.0,36.0,11.0,18.0
1003,12,3,15.4047852,15.3527832,70.0,20.0,40.0,30.0,20.0,10.0,10.0,,3,4,71.0,26.0,36.0,27.0,20.0,16.0,3.0,,55.00000000000001,24.0,20.0,,35.0,27.0,21.0,17.0,1.0,6.0,7.0,,4.0,3.0,0.0,6.0,0.1311432935522461,0.07987858517510829,0.14196333545286702,0.09209667472638992,0.8688567064477539,0.9201214148248917,0.858036664547133,0.9079033252736101,11.0,7.0,18.0,18.0,9.0,27.0,46.0,81.0,28.0,54.0,18.0,27.0
1005,12,1,27.8334961,24.2165527,49.0,38.0,40.0,30.0,20.0,10.0,13.0,,3,4,50.0,38.0,33.0,25.0,21.0,21.0,12.0,,50.0,38.0,12.0,,32.0,25.0,21.0,21.0,1.0,0.0,1.0,,7.0,5.0,1.0,11.0,0.013443969395243328,0.1361751096354219,0.013443969395243328,0.13929333267831034,0.9865560306047567,0.8638248903645781,0.9865560306047567,0.8607066673216897,6.0,4.0,10.0,18.0,9.0,27.0,10.0,27.0,6.0,18.0,4.0,9.0
1005,12,2,14.8916016,31.7583,54.0,36.0,34.0,33.0,22.0,11.0,10.0,,3,4,62.0,35.0,36.0,26.0,21.0,18.0,4.0,,61.0,35.0,4.0,,33.0,25.0,21.0,20.0,8.0,1.0,6.0,,2.0,7.0,1.0,7.0,0.10743117792875587,0.09687251895241843,0.10568867133690447,0.11721006891223616,0.8925688220712441,0.9031274810475816,0.8943113286630955,0.8827899310877638,11.0,7.0,18.0,18.0,9.0,27.0,28.0,54.0,17.0,36.0,11.0,18.0
1005,12,3,23.7453613,16.9914551,50.0,32.0,45.0,22.0,22.0,11.0,18.0,,3,4,71.0,26.0,36.0,27.0,20.0,16.0,3.0,,64.0,28.000000000000004,8.0,,31.0,25.0,22.0,22.0,21.0,6.0,15.0,,9.0,5.0,2.0,5.0,0.24151407689183507,0.09585030696369207,0.1463397982325842,0.15338588163285324,0.7584859231081649,0.904149693036308,0.8536602017674157,0.8466141183671467,11.0,7.0,18.0,18.0,9.0,27.0,46.0,81.0,28.0,54.0,18.0,27.0
1010,12,1,39.565918,113.593262,50.0,35.0,37.0,33.0,15.0,15.0,15.0,,3,4,50.0,38.0,33.0,25.0,21.0,21.0,12.0,,50.0,38.0,12.0,,32.0,25.0,21.0,21.0,0.0,3.0,3.0,,4.0,8.0,6.0,6.0,0.04061432567806637,0.1098392408902063,0.04061432567806637,0.11221245553698068,0.9593856743219337,0.8901607591097938,0.9593856743219337,0.8877875444630193,6.0,4.0,10.0,18.0,9.0,27.0,10.0,27.0,6.0,18.0,4.0,9.0
1010,12,2,22.3251953,65.7172852,55.0,35.0,36.0,29.0,21.0,14.0,10.0,,3,4,62.0,35.0,36.0,26.0,21.0,18.0,4.0,,62.0,33.0,5.0,,34.0,26.0,21.0,20.0,7.0,0.0,6.0,,0.0,3.0,0.0,4.0,0.1049434797956542,0.048673541433514454,0.08860824207280599,0.0677917951195638,0.8950565202043458,0.9513264585664856,0.911391757927194,0.9322082048804362,11.0,7.0,18.0,18.0,9.0,27.0,28.0,54.0,17.0,36.0,11.0,18.0
1010,12,3,41.3584,46.31543,58.0,37.0,37.0,30.0,21.0,12.0,5.0,,3,4,71.0,26.0,36.0,27.0,20.0,16.0,3.0,,65.0,27.0,8.0,,35.0,26.0,21.0,19.0,13.0,11.0,2.0,,1.0,3.0,1.0,4.0,0.11626967035037349,0.05263537502400107,0.09806076261200548,0.08325650717658933,0.8837303296496265,0.9473646249759989,0.9019392373879945,0.9167434928234106,11.0,7.0,18.0,18.0,9.0,27.0,46.0,81.0,28.0,54.0,18.0,27.0
