participantID,instanceName,seqBall,responseTimeUrn,responseTimeColour,age,sex,probSubject,bayesFamaliar,bayesInExp,uA_r,uB_r,cB_r,cW_r,cP_r,cG_r,uC_r,uD_r,urns,colours,uA_c,uB_c,cB_c,cW_c,cP_c,cG_c,uC_c,uD_c,uA_s,uB_s,uC_s,uD_s,cB_s,cW_s,cP_s,cG_s,diff_uA,diff_uB,diff_uC,diff_uD,diff_cB,diff_cW,diff_cP,diff_cG,JSD_U_rc,JSD_C_rc,JSD_U_rs,JSD_C_rs,DQ_U_o,DQ_C_o,DQ_U_s,DQ_C_s,EWCC_u,MDCC_u,CC_u,EWCC_c,MDCC_c,CC_c,ACC_u,ACC_c,AEWCC_u,AEWCC_c,AMDCC_u,AMDCC_c,DV_seqBall_1,DV_seqBall_2,DV_seqBall_3
38,13,1,172.960938,30.5488281,27,Female,Yes,No,Never,32.0,28.0,60.0,40.0,,,21.0,19.0,4,2,35.0,30.0,55.00000000000001,45.0,,,20.0,15.0,35.0,30.0,20.0,15.0,53.0,47.0,,,3.0,2.0,1.0,4.0,4.999999999999993,5.0,,,0.050225913365338735,0.042962057701503034,0.05022591336533908,0.059988030512285094,0.9497740866346612,0.9570379422984969,0.9497740866346609,0.9400119694877149,8.0,6.0,15.0,8.0,4.0,12.0,15.0,12.0,8.0,8.0,6.0,4.0,1,0,0
38,13,2,43.81494,11.48291,27,Female,Yes,No,Never,5.0,5.0,40.0,60.0,,,20.0,70.0,4,2,23.0,27.0,50.0,50.0,,,27.0,23.0,21.0,24.0,27.0,28.000000000000004,35.0,64.0,,,18.0,22.0,7.0,47.0,10.0,10.0,,,0.4457692556060233,0.0854351026245885,0.3973235332946531,0.04072939272970314,0.5542307443939767,0.9145648973754115,0.6026764667053469,0.9592706072702969,15.0,10.0,26.0,8.0,4.0,12.0,41.0,24.0,23.0,16.0,16.0,8.0,0,1,0
38,13,3,42.28174,9.266113,27,Female,Yes,No,Never,5.0,5.0,70.0,30.0,,,25.0,65.0,4,2,14.000000000000002,21.0,45.0,55.00000000000001,,,32.0,33.0,2.0,3.0,19.0,76.0,36.0,64.0,,,9.000000000000002,16.0,7.0,32.0,25.0,25.000000000000007,,,0.30933705976089804,0.21604533323803896,0.11256949979282062,0.2922576676917942,0.690662940239102,0.783954666761961,0.8874305002071794,0.7077423323082058,15.0,10.0,26.0,8.0,4.0,12.0,67.0,36.0,38.0,24.0,26.0,12.0,0,0,1
39,13,1,40.3671875,58.3330078,22,Male,Yes,Yes,Sometimes,35.0,30.0,55.0,45.0,,,20.0,15.0,4,2,35.0,30.0,55.00000000000001,45.0,,,20.0,15.0,35.0,30.0,20.0,15.0,55.00000000000001,45.0,,,0.0,0.0,0.0,0.0,7.105427357601002e-15,0.0,,,0.0,0.0,4.002140991903532e-09,0.0,1.0,1.0,0.999999995997859,1.0,8.0,6.0,15.0,8.0,4.0,12.0,15.0,12.0,8.0,8.0,6.0,4.0,1,0,0
39,13,2,28.1835938,16.6660156,22,Male,Yes,Yes,Sometimes,30.0,26.0,53.0,47.0,,,24.0,20.0,4,2,23.0,27.0,50.0,50.0,,,27.0,23.0,23.0,27.0,27.0,23.0,52.0,48.0,,,7.0,1.0,3.0,3.0,3.0,3.0,,,0.06931603256077332,0.02549304867489489,0.06931603256077332,0.008503926230830182,0.9306839674392267,0.9745069513251051,0.9306839674392267,0.9914960737691698,15.0,10.0,26.0,8.0,4.0,12.0,41.0,24.0,23.0,16.0,16.0,8.0,0,1,0
39,13,3,23.25,12.4335938,22,Male,Yes,Yes,Sometimes,25.0,24.0,51.0,49.0,,,26.0,25.0,4,2,14.000000000000002,21.0,45.0,55.00000000000001,,,32.0,33.0,19.0,22.0,30.0,28.999999999999996,50.0,50.0,,,10.999999999999998,3.0,6.0,8.0,6.0,6.000000000000007,,,0.13527955496748828,0.05101556747594538,0.0733138908870406,0.008493713513927347,0.8647204450325117,0.9489844325240546,0.9266861091129595,0.9915062864860726,15.0,10.0,26.0,8.0,4.0,12.0,67.0,36.0,38.0,24.0,26.0,12.0,0,0,1
40,13,1,24.7001953,9.666748,20,Male,Yes,Yes,Sometimes,35.0,28.0,42.0,58.0,,,20.0,17.0,4,2,35.0,30.0,55.00000000000001,45.0,,,20.0,15.0,35.0,30.0,20.0,15.0,54.0,46.0,,,0.0,2.0,0.0,2.0,13.000000000000007,13.0,,,0.026456114969211405,0.11061878368468632,0.026456114969213507,0.102124282461431,0.9735438850307886,0.8893812163153136,0.9735438850307865,0.897875717538569,8.0,6.0,15.0,8.0,4.0,12.0,15.0,12.0,8.0,8.0,6.0,4.0,1,0,0
40,13,2,16.1333,7.68334961,20,Male,Yes,Yes,Sometimes,29.0,22.0,45.0,55.0,,,26.0,23.0,4,2,23.0,27.0,50.0,50.0,,,27.0,23.0,23.0,25.0,26.0,26.0,51.0,49.0,,,6.0,5.0,1.0,0.0,5.0,5.0,,,0.06643776974340607,0.04252825000991628,0.06210105190527291,0.05101556747594538,0.9335622302565939,0.9574717499900838,0.9378989480947271,0.9489844325240546,15.0,10.0,26.0,8.0,4.0,12.0,41.0,24.0,23.0,16.0,16.0,8.0,0,1,0
40,13,3,18.9831543,9.083496,20,Male,Yes,Yes,Sometimes,16.0,22.0,35.0,65.0,,,30.0,32.0,4,2,14.000000000000002,21.0,45.0,55.00000000000001,,,32.0,33.0,18.0,18.0,32.0,33.0,46.0,54.0,,,1.9999999999999982,1.0,2.0,1.0,10.0,9.999999999999993,,,0.029212394029237986,0.08677176829487179,0.04614244770404889,0.09527393316310047,0.970787605970762,0.9132282317051282,0.9538575522959511,0.9047260668368995,15.0,10.0,26.0,8.0,4.0,12.0,67.0,36.0,38.0,24.0,26.0,12.0,0,0,1
41,13,1,44.6171875,24.6992188,22,Female,No,No,Never,35.0,30.0,50.0,50.0,,,20.0,15.0,4,2,35.0,30.0,55.00000000000001,45.0,,,20.0,15.0,35.0,30.0,20.0,15.0,55.00000000000001,45.0,,,0.0,0.0,0.0,0.0,5.000000000000007,5.0,,,0.0,0.04252825000991628,4.002140991903532e-09,0.04252825000991628,1.0,0.9574717499900838,0.999999995997859,0.9574717499900838,8.0,6.0,15.0,8.0,4.0,12.0,15.0,12.0,8.0,8.0,6.0,4.0,1,0,0
