participantID,instanceName,seqBall,responseTimeUrn,responseTimeColour,age,sex,probSubject,bayesFamaliar,bayesInExp,uA_r,uB_r,cB_r,cW_r,cP_r,cG_r,uC_r,uD_r,urns,colours,uA_c,uB_c,cB_c,cW_c,cP_c,cG_c,uC_c,uD_c,uA_s,uB_s,uC_s,uD_s,cB_s,cW_s,cP_s,cG_s,diff_uA,diff_uB,diff_uC,diff_uD,diff_cB,diff_cW,diff_cP,diff_cG,JSD_U_rc,JSD_C_rc,JSD_U_rs,JSD_C_rs,DQ_U_o,DQ_C_o,DQ_U_s,DQ_C_s,EWCC_u,MDCC_u,CC_u,EWCC_c,MDCC_c,CC_c,ACC_u,ACC_c,AEWCC_u,AEWCC_c,AMDCC_u,AMDCC_c,DV_seqBall_1,DV_seqBall_2,DV_seqBall_3,DV_bayesInExp,Chosen Urn,chosen_urn_A,chosen_urn_B,chosen_urn_C,chosen_urn_D,totalBalls,totalBalls_B,totalBalls_W,totalBalls_P,totalBalls_G,MSE_hsi_RvB,MSE_ff_RvB,MSE_hsi_CvR,MSE_hsi_CvB,MSE_hsi_diff_CvR_CvB,prior_uA,prior_uB,prior_uC,prior_uD,prior_cB,prior_cW,prior_cP,prior_cG,JSD_U_priorVpos,JSD_C_priorVpos,instanceSeq
10,1,2,13.2836914,17.0664063,23,Female,No,No,Not Applicable,41.0,59.0,48.0,52.0,,,,,2,2,50.0,50.0,50.0,50.0,,,,,50.0,50.0,,,46.0,54.0,,,9.0,9.0,,,2.0,2.0,,,0.0768045382902676,0.0169904018554293,0.0768045382902676,0.0170176719919553,0.9231954617097324,0.9830095981445708,0.9231954617097324,0.9829823280080446,6.0,4.0,10.0,4.0,2.0,6.0,15.0,12.0,9.0,8.0,6.0,4.0,0,1,0,No,B,0,100,0,0,20,10,10,,,81.0,4.0,1681.0,2500.0,-819.0,30.0,70.0,,,42.0,57.99999999999999,,,0.17408372939284805,0.0682018423754005,4
10,1,3,28.2001953,9.799805,23,Female,No,No,Not Applicable,38.0,62.0,47.0,53.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,23.0,77.0,,,45.0,55.00000000000001,,,8.0,8.0,,,5.0,4.999999999999993,,,0.0717791351615081,0.0427348261921403,0.1388905806337782,0.0170416414248143,0.928220864838492,0.9572651738078596,0.8611094193662218,0.9829583585751857,6.0,4.0,10.0,4.0,2.0,6.0,25.0,18.0,15.0,12.0,10.0,6.0,0,0,1,No,B,0,100,0,0,20,10,10,,,64.0,24.999999999999964,1444.0,900.0,544.0,50.0,50.0,,,50.0,50.0,,,0.17408372939284805,0.0682018423754005,4
11,1,1,9.366699,10.9667969,22,Female,No,Yes,Sometimes,30.0,70.0,30.0,70.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,30.0,70.0,,,42.0,57.99999999999999,,,0.0,0.0,,,12.0,12.000000000000009,,,0.0,0.1063522078911352,0.0,0.1063522078911352,1.0,0.8936477921088648,1.0,0.8936477921088648,3.0,2.0,5.0,4.0,2.0,6.0,5.0,6.0,3.0,4.0,2.0,2.0,1,0,0,Yes,B,0,100,0,0,20,10,10,,,0.0,144.00000000000009,900.0,900.0,0.0,0.5,0.5,,,50.0,50.0,,,0.17408372939284805,0.0682018423754005,7
11,1,2,10.5664063,9.666992,22,Female,No,Yes,Sometimes,45.0,55.0,43.0,57.0,,,,,2,2,50.0,50.0,50.0,50.0,,,,,50.0,50.0,,,48.0,52.0,,,5.0,5.0,,,7.0,7.0,,,0.0425282500099162,0.0596237058175414,0.0425282500099162,0.0426483867670548,0.9574717499900838,0.9403762941824584,0.9574717499900838,0.9573516132329452,6.0,4.0,10.0,4.0,2.0,6.0,15.0,12.0,9.0,8.0,6.0,4.0,0,1,0,Yes,B,0,100,0,0,20,10,10,,,25.0,49.0,2025.0,2500.0,-475.0,30.0,70.0,,,42.0,57.99999999999999,,,0.17408372939284805,0.0682018423754005,7
11,1,3,5.966797,7.95019531,22,Female,No,Yes,Sometimes,42.0,58.0,40.0,60.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,26.0,74.0,,,47.0,53.0,,,12.0,12.0,,,2.0,2.000000000000007,,,0.1063522078911352,0.0172691636642552,0.1439394706461517,0.059988030512285,0.8936477921088648,0.9827308363357448,0.8560605293538482,0.9400119694877148,6.0,4.0,10.0,4.0,2.0,6.0,25.0,18.0,15.0,12.0,10.0,6.0,0,0,1,Yes,B,0,100,0,0,20,10,10,,,144.0,4.000000000000014,1764.0,900.0,864.0,50.0,50.0,,,50.0,50.0,,,0.17408372939284805,0.0682018423754005,7
12,1,1,20.949707,11.1835938,34,Female,No,No,Never,30.0,70.0,30.0,70.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,30.0,70.0,,,42.0,57.99999999999999,,,0.0,0.0,,,12.0,12.000000000000009,,,0.0,0.1063522078911352,0.0,0.1063522078911352,1.0,0.8936477921088648,1.0,0.8936477921088648,3.0,2.0,5.0,4.0,2.0,6.0,5.0,6.0,3.0,4.0,2.0,2.0,1,0,0,No,B,0,100,0,0,20,10,10,,,0.0,144.00000000000009,900.0,900.0,0.0,0.5,0.5,,,50.0,50.0,,,0.17408372939284805,0.0682018423754005,9
12,1,2,14.3500977,31.2998047,34,Female,No,No,Never,70.0,30.0,70.0,30.0,,,,,2,2,50.0,50.0,50.0,50.0,,,,,50.0,50.0,,,57.99999999999999,42.0,,,20.0,20.0,,,20.0,20.0,,,0.174083729392848,0.174083729392848,0.174083729392848,0.1063522078911352,0.8259162706071519,0.8259162706071519,0.8259162706071519,0.8936477921088648,6.0,4.0,10.0,4.0,2.0,6.0,15.0,12.0,9.0,8.0,6.0,4.0,0,1,0,No,B,0,100,0,0,20,10,10,,,400.0,400.0,4900.0,2500.0,2400.0,30.0,70.0,,,42.0,57.99999999999999,,,0.17408372939284805,0.0682018423754005,9
12,1,3,18.0830078,16.2167969,34,Female,No,No,Never,30.0,70.0,30.0,70.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,50.0,50.0,,,42.0,57.99999999999999,,,0.0,0.0,,,12.0,12.000000000000009,,,0.0,0.1063522078911352,0.174083729392848,0.1063522078911352,1.0,0.8936477921088648,0.8259162706071519,0.8936477921088648,6.0,4.0,10.0,4.0,2.0,6.0,25.0,18.0,15.0,12.0,10.0,6.0,0,0,1,No,B,0,100,0,0,20,10,10,,,0.0,144.00000000000009,900.0,900.0,0.0,50.0,50.0,,,50.0,50.0,,,0.17408372939284805,0.0682018423754005,9
13,1,1,20.2167969,32.25,25,Male,Yes,Yes,Sometimes,30.0,70.0,57.0,43.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,30.0,70.0,,,42.0,57.99999999999999,,,0.0,0.0,,,15.0,14.999999999999991,,,0.0,0.1276455950645177,0.0,0.1276455950645177,1.0,0.8723544049354822,1.0,0.8723544049354822,3.0,2.0,5.0,4.0,2.0,6.0,5.0,6.0,3.0,4.0,2.0,2.0,1,0,0,Yes,B,0,100,0,0,20,10,10,,,0.0,224.9999999999999,900.0,900.0,0.0,0.5,0.5,,,50.0,50.0,,,0.17408372939284805,0.0682018423754005,5
13,1,2,34.0166,12.9667969,25,Male,Yes,Yes,Sometimes,49.0,51.0,50.0,50.0,,,,,2,2,50.0,50.0,50.0,50.0,,,,,50.0,50.0,,,50.0,50.0,,,1.0,1.0,,,0.0,0.0,,,0.0084937135139273,0.0,0.0084937135139273,0.0,0.9915062864860726,1.0,0.9915062864860726,1.0,6.0,4.0,10.0,4.0,2.0,6.0,15.0,12.0,9.0,8.0,6.0,4.0,0,1,0,Yes,B,0,100,0,0,20,10,10,,,1.0,0.0,2401.0,2500.0,-99.0,30.0,70.0,,,42.0,57.99999999999999,,,0.17408372939284805,0.0682018423754005,5
13,1,3,11.78418,20.0664063,25,Male,Yes,Yes,Sometimes,41.0,59.0,68.0,32.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,28.999999999999996,71.0,,,46.0,54.0,,,11.0,11.0,,,26.0,25.999999999999993,,,0.097768597250371,0.2232863130797197,0.1070383007473345,0.1895655266828859,0.902231402749629,0.7767136869202803,0.8929616992526654,0.810434473317114,6.0,4.0,10.0,4.0,2.0,6.0,25.0,18.0,15.0,12.0,10.0,6.0,0,0,1,Yes,B,0,100,0,0,20,10,10,,,121.0,675.9999999999998,1681.0,900.0,781.0,50.0,50.0,,,50.0,50.0,,,0.17408372939284805,0.0682018423754005,5
14,1,1,9.983398,20.6333,24,Female,Yes,No,Never,40.0,60.0,40.0,60.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,30.0,70.0,,,46.0,54.0,,,10.0,10.0,,,2.0,2.000000000000007,,,0.0891476782244526,0.0172691636642552,0.0891476782244526,0.0514832064024041,0.9108523217755472,0.9827308363357448,0.9108523217755472,0.948516793597596,3.0,2.0,5.0,4.0,2.0,6.0,5.0,6.0,3.0,4.0,2.0,2.0,1,0,0,No,B,0,100,0,0,20,10,10,,,100.0,4.000000000000014,1600.0,900.0,700.0,0.5,0.5,,,50.0,50.0,,,0.17408372939284805,0.0682018423754005,6
14,1,2,14.449707,11.9169922,24,Female,Yes,No,Never,45.0,55.0,45.0,55.0,,,,,2,2,50.0,50.0,50.0,50.0,,,,,61.0,39.0,,,48.0,52.0,,,5.0,5.0,,,5.0,5.0,,,0.0425282500099162,0.0425282500099162,0.13643528620299,0.0255442732010818,0.9574717499900838,0.9574717499900838,0.8635647137970099,0.974455726798918,6.0,4.0,10.0,4.0,2.0,6.0,15.0,12.0,9.0,8.0,6.0,4.0,0,1,0,No,B,0,100,0,0,20,10,10,,,25.0,25.0,2025.0,2500.0,-475.0,30.0,70.0,,,42.0,57.99999999999999,,,0.17408372939284805,0.0682018423754005,6
14,1,3,9.733398,15.7333984,24,Female,Yes,No,Never,40.0,60.0,45.0,55.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,26.0,74.0,,,46.0,54.0,,,10.0,10.0,,,3.0,2.999999999999993,,,0.0891476782244526,0.0256998211125291,0.1267986171300157,0.0085278999100574,0.9108523217755472,0.9743001788874708,0.8732013828699843,0.9914721000899426,6.0,4.0,10.0,4.0,2.0,6.0,25.0,18.0,15.0,12.0,10.0,6.0,0,0,1,No,B,0,100,0,0,20,10,10,,,100.0,8.999999999999979,1600.0,900.0,700.0,50.0,50.0,,,50.0,50.0,,,0.17408372939284805,0.0682018423754005,6
15,1,1,13.1000977,27.75,31,Male,Yes,Yes,Sometimes,30.0,70.0,42.0,58.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,30.0,70.0,,,42.0,57.99999999999999,,,0.0,0.0,,,0.0,7.105427357601002e-15,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,5.0,4.0,2.0,6.0,5.0,6.0,3.0,4.0,2.0,2.0,1,0,0,Yes,B,0,100,0,0,20,10,10,,,0.0,2.524354896707238e-29,900.0,900.0,0.0,0.5,0.5,,,50.0,50.0,,,0.17408372939284805,0.0682018423754005,7
15,1,2,26.25,15.0,31,Male,Yes,Yes,Sometimes,50.0,50.0,50.0,50.0,,,,,2,2,50.0,50.0,50.0,50.0,,,,,50.0,50.0,,,50.0,50.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,4.0,10.0,4.0,2.0,6.0,15.0,12.0,9.0,8.0,6.0,4.0,0,1,0,Yes,B,0,100,0,0,20,10,10,,,0.0,0.0,2500.0,2500.0,0.0,30.0,70.0,,,42.0,57.99999999999999,,,0.17408372939284805,0.0682018423754005,7
15,1,3,57.5834961,24.3999023,31,Male,Yes,Yes,Sometimes,30.0,70.0,58.0,42.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,30.0,70.0,,,42.0,57.99999999999999,,,0.0,0.0,,,16.0,15.999999999999991,,,0.0,0.1361840848496856,0.0,0.1361840848496856,1.0,0.8638159151503144,1.0,0.8638159151503144,6.0,4.0,10.0,4.0,2.0,6.0,25.0,18.0,15.0,12.0,10.0,6.0,0,0,1,Yes,B,0,100,0,0,20,10,10,,,0.0,255.9999999999999,900.0,900.0,0.0,50.0,50.0,,,50.0,50.0,,,0.17408372939284805,0.0682018423754005,7
16,1,1,10.2167969,18.0166016,22,Male,No,No,Not Applicable,30.0,70.0,42.0,58.0,,,,,2,2,30.0,70.0,42.0,57.99999999999999,,,,,30.0,70.0,,,42.0,57.99999999999999,,,0.0,0.0,,,0.0,7.105427357601002e-15,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,5.0,4.0,2.0,6.0,5.0,6.0,3.0,4.0,2.0,2.0,1,0,0,No,B,0,100,0,0,20,10,10,,,0.0,2.524354896707238e-29,900.0,900.0,0.0,0.5,0.5,,,50.0,50.0,,,0.17408372939284805,0.0682018423754005,4
